phrase_to_merge,standard_form
"paine, webber",paine_webber
"sears, roebuck & co.",sears_roebuck
"jardine, matheson & co.",jardine_matheson
federal deposit insurance corp.,federal_deposit_insurance_corporation
hongkong & shanghai banking corp.,hsbc
jones industrial,dow_jones_industrial_average
industrial average,dow_jones_industrial_average
moody's investors service inc.,moodys
smith barney harris upham,smith_barney
hongkong shanghai banking corp.,hsbc
hongkong shanghai banking corp,hsbc
drexel burnham lambert inc.,drexel_burnham_lambert
morgan stanley & co.,morgan_stanley
morgan guaranty trust co.,morgan_guaranty_trust
merrill lynch & co.,merrill_lynch
mcdonnell douglas corp.,mcdonnell_douglas
atlantic richfield co.,atlantic_richfield
jones industrials,dow_jones_industrial_average
standard & poor's corp.,standard_and_poors
asian wall street journal,asian_wall_street_journal
organization of petroleum exporting countries,opec
north atlantic treaty organization,north_atlantic_treaty_organization
manufacturers hanover trust co.,hanover_trust
general motors corp.,general_motors
ford motor co.,ford_motor_company
american telephone and telegraph,american_telephone_and_telegraph
british petroleum co.,british_petroleum
pan american world airways,pan_american_world_airways
apple computer inc.,apple_computer
drexel burnham lambert,drexel_burnham_lambert
johnson & johnson,johnson_and_johnson
daniel patrick moynihan,daniel_patrick_moynihan
chiang ching-kuo,chiang_ching_kuo
credit suisse first boston,credit_suisse_first_boston
witter reynolds,dean_witter_reynolds
shearson american express,shearson_american_express
shearson/american express,shearson_american_express
shearson lehman brothers,shearson_lehman_brothers
marsh and mclennan,marsh_and_mclennan
mccormack and dodge,mccormack_and_dodge
credit suisse,credit_suisse_first_boston
suisse first,credit_suisse_first_boston
j. david & co.,j_david_dominelli
chicago mercantile exchange,chicago_mercantile_exchange
federal deposit insurance,federal_deposit_insurance_corporation
internal revenue service,internal_revenue_service
federal aviation administration,federal_aviation_administration
federal communications commission,federal_communications_commission
securities and exchange commission,securities_and_exchange_commission
international monetary fund,international_monetary_fund
peoples bank of china,peoples_bank_of_china
london interbank offered rate,london_interbank_offered_rate
american depositary receipts,american_depositary_receipts
initial public offering,initial_public_offering
hongkong shanghai,hsbc
manufacturers hanover,hanover_trust
chase manhattan,chase_manhattan_bank
security pacific,security_pacific_bank
marine midland bank,marine_midland_bank
digital equipment,digital_equipment_corp
american telephone,american_telephone_and_telegraph
telephone telegraph,american_telephone_and_telegraph
atlantic richfield,atlantic_richfield
mcdonnell douglas,mcdonnell_douglas
pan american,pan_american_world_airways
world airways,pan_american_world_airways
apple computer,apple_computer
drexel burnham,drexel_burnham_lambert
burnham lambert,drexel_burnham_lambert
president carter,jimmy_carter
george bush,george_bush
chairman paul,paul_volcker
state shultz,george_shultz
howard baker,howard_baker
robert dole,bob_dole
sen. moynihan,daniel_patrick_moynihan
alan cranston,alan_cranston
jesse jackson,jesse_jackson
rev. jesse,jesse_jackson
chiang ching,chiang_ching
hu yaobang,hu_yaobang
norodom sihanouk,norodom_sihanouk
prince sihanouk,norodom_sihanouk
leonid brezhnev,leonid_brezhnev
konstantin chernenko,konstantin_chernenko
yuri andropov,yuri_andropov
mikhail gorbachev,mikhail_gorbachev
andrei gromyko,andrei_gromyko
andrei sakharov,andrei_sakharov
