candidate_phrase,frequency,source,score,action_code,standard_form
new york,754,NER,,,
hong kong,644,NER,,,
will be,613,Gensim,26.384992663182363,,
has been,550,Gensim,41.56118942953868,,
more than,533,Gensim,70.82930504726305,,
he said,481,Gensim,10.898297516137344,,
wall street,467,Gensim,578.9649432861289,,
last year,466,Gensim,62.09037282654304,,
have been,454,Gensim,35.20938500728843,,
street journal,426,Gensim,552.9178259359644,,
the wall street journal,412,NER,,,
do n't,403,Gensim,50.86369406266411,,
would be,402,Gensim,20.729548015425877,,
vice president,397,Gensim,240.3816318695041,,
this year,396,Gensim,30.724052603397194,,
he says,372,Gensim,16.62994559358141,,
credit staff,369,Gensim,363.507243649476,,
interest rates,363,Gensim,307.25082755328555,,
did n't,353,Gensim,64.23168623209463,,
staff reporter,320,Gensim,570.4834314966698,,
reporter of,320,Gensim,14.95022229210423,,
about $,289,Gensim,13.51081165570314,,
an ounce,276,Gensim,109.37824237807308,,
according to,275,Gensim,17.79032168914437,,
does n't,268,Gensim,67.53307937489073,,
wo n't,262,Gensim,108.81189743299377,,
at least,240,Gensim,98.32046444970898,,
such as,240,Gensim,24.788172815204042,,
based on,237,Gensim,37.456611432362514,,
there is,229,Gensim,10.584535701072882,,
they are,225,Gensim,10.523696501590187,,
had been,223,Gensim,32.99112083375113,,
may be,217,Gensim,23.98431332095454,,
part of,209,Gensim,11.901521685471996,,
would have,196,Gensim,11.412331235444443,,
in early,191,Gensim,10.016582241435863,,
soviet union,189,Gensim,226.20150056794404,,
plans to,187,Gensim,11.032635050482718,,
foreign exchange,183,Gensim,105.4489686415165,,
to buy,180,Gensim,12.383232995902482,,
can be,177,Gensim,20.400904855033932,,
there are,176,Gensim,16.3077,,
could be,175,Gensim,17.37399920790849,,
the soviet union,172,NER,,,
for example,172,Gensim,37.3515705937856,,
ca n't,171,Gensim,107.68532648771851,,
west german,170,NER,,,
a few,166,Gensim,10.564725012360418,,
number of,166,Gensim,12.565569551190814,,
mr. mondale,164,Gensim,41.35432378079437,,
last week,163,Gensim,86.91948334239018,,
president reagan,163,Gensim,61.29401083579468,,
want to,161,Gensim,11.347853194782223,,
for delivery,160,Gensim,31.84065165623779,,
agreed to,160,Gensim,12.812625620565594,,
early trading,159,Gensim,172.24276603845422,,
trying to,158,Gensim,15.99084087461023,,
u.s. interest,158,Gensim,24.5182825467225,,
gold for,154,Gensim,11.787916860033135,,
is expected,153,Gensim,16.254026854038536,,
mr. reagan,150,Gensim,18.776290725041523,,
as well,145,Gensim,29.715375037900536,,
going to,145,Gensim,10.564285078662035,,
country 's,144,Gensim,11.652952714575171,,
likely to,140,Gensim,10.767826285534753,,
los angeles,140,NER,,,
a lot,137,Gensim,17.378345523123254,,
we have,133,Gensim,10.989437448495885,,
they were,131,Gensim,12.565060032449317,,
this month,131,Gensim,40.92218289073898,,
year old,130,Gensim,65.50346575181013,,
reagan administration,129,Gensim,139.10890616475723,,
this week,127,Gensim,39.15599643360913,,
as much,125,Gensim,16.88389218407222,,
able to,123,Gensim,17.03101695391105,,
less than,123,Gensim,84.6770936025056,,
equivalent of,120,Gensim,12.239191121289755,,
years ago,120,Gensim,151.1715410124256,,
could n't,119,Gensim,12.864588085106966,,
two years,118,Gensim,35.71368396987189,,
sen. hart,115,Gensim,531.5656899463905,,
first quarter,113,Gensim,143.51451558183493,,
to keep,113,Gensim,11.096336240008695,,
u.s. dollar,113,Gensim,10.833516515847244,,
year earlier,111,Gensim,58.65446001809639,,
should be,110,Gensim,26.43752511048614,,
lot of,108,Gensim,11.447718938157369,,
we 're,107,Gensim,108.97012696041823,,
last month,107,Gensim,56.78191277864726,,
may have,106,Gensim,13.075384740085997,,
rather than,104,Gensim,147.41349112961623,,
much as,104,Gensim,13.929211051859582,,
spokesman said,104,Gensim,35.06214255651011,,
so far,103,Gensim,124.52918435210468,,
hong kong's,102,NER,,,
prime minister,101,Gensim,799.0649666059503,,
