candidate_phrase,frequency,source,score,action_code,standard_form
new york,754,NER,,1,new_york
hong kong,644,NER,,1,hong_kong
will be,613,Gensim,26.384992663182363,2,
has been,550,Gensim,41.56118942953868,2,
more than,533,Gensim,70.82930504726305,2,
he said,481,Gensim,10.898297516137344,2,
wall street,467,Gensim,578.9649432861289,1,wall_street
last year,466,Gensim,62.09037282654304,2,
have been,454,Gensim,35.20938500728843,2,
street journal,426,Gensim,552.9178259359644,1,wall_street_journal
wall street journal,412,NER,,1,wall_street_journal
do n't,403,Gensim,50.86369406266411,2,
would be,402,Gensim,20.72954801542588,2,
vice president,397,Gensim,240.3816318695041,1,vice_president
this year,396,Gensim,30.724052603397197,2,
he says,372,Gensim,16.62994559358141,2,
credit staff,369,Gensim,363.507243649476,1,credit_staff
interest rates,363,Gensim,307.25082755328555,1,interest_rate
did n't,353,Gensim,64.23168623209463,2,
staff reporter,320,Gensim,570.4834314966698,1,staff_reporter
reporter of,320,Gensim,14.95022229210423,3,
about $,289,Gensim,13.51081165570314,2,
an ounce,276,Gensim,109.37824237807308,3,
according to,275,Gensim,17.79032168914437,2,
does n't,268,Gensim,67.53307937489073,2,
wo n't,262,Gensim,108.81189743299376,2,
at least,240,Gensim,98.32046444970898,2,
such as,240,Gensim,24.78817281520404,2,
based on,237,Gensim,37.456611432362514,2,
there is,229,Gensim,10.584535701072882,2,
they are,225,Gensim,10.523696501590187,2,
had been,223,Gensim,32.99112083375113,2,
may be,217,Gensim,23.98431332095454,2,
part of,209,Gensim,11.901521685471996,2,
would have,196,Gensim,11.412331235444444,2,
in early,191,Gensim,10.016582241435865,2,
soviet union,189,Gensim,226.20150056794404,1,soviet_union
plans to,187,Gensim,11.032635050482718,2,
foreign exchange,183,Gensim,105.4489686415165,1,foreign_exchange
to buy,180,Gensim,12.383232995902482,3,
can be,177,Gensim,20.40090485503393,2,
there are,176,Gensim,16.3077,2,
could be,175,Gensim,17.37399920790849,2,
soviet union,172,NER,,1,soviet_union
for example,172,Gensim,37.3515705937856,2,
ca n't,171,Gensim,107.68532648771853,2,
west german,170,NER,,1,west_germany
a few,166,Gensim,10.564725012360418,2,
number of,166,Gensim,12.565569551190814,2,
mr. mondale,164,Gensim,41.35432378079437,1,walter_mondale
last week,163,Gensim,86.91948334239018,2,
president reagan,163,Gensim,61.29401083579468,1,ronald_reagan
want to,161,Gensim,11.347853194782225,2,
for delivery,160,Gensim,31.84065165623779,3,
agreed to,160,Gensim,12.812625620565594,2,
early trading,159,Gensim,172.24276603845422,1,early_trading
trying to,158,Gensim,15.99084087461023,2,
u.s. interest,158,Gensim,24.5182825467225,1,us_interest_rate
gold for,154,Gensim,11.787916860033135,3,
is expected,153,Gensim,16.254026854038536,2,
mr. reagan,150,Gensim,18.776290725041523,1,ronald_reagan
as well,145,Gensim,29.715375037900536,2,
going to,145,Gensim,10.564285078662037,2,
country 's,144,Gensim,11.652952714575171,3,
likely to,140,Gensim,10.767826285534753,2,
los angeles,140,NER,,1,los_angeles
a lot,137,Gensim,17.378345523123254,2,
we have,133,Gensim,10.989437448495885,2,
they were,131,Gensim,12.565060032449315,2,
this month,131,Gensim,40.92218289073898,2,
year old,130,Gensim,65.50346575181013,2,
reagan administration,129,Gensim,139.10890616475723,1,reagan_administration
this week,127,Gensim,39.15599643360913,2,
as much,125,Gensim,16.88389218407222,2,
able to,123,Gensim,17.03101695391105,2,
less than,123,Gensim,84.6770936025056,2,
equivalent of,120,Gensim,12.239191121289757,2,
years ago,120,Gensim,151.1715410124256,2,
could n't,119,Gensim,12.864588085106966,2,
two years,118,Gensim,35.71368396987189,2,
sen. hart,115,Gensim,531.5656899463905,1,gary_hart
first quarter,113,Gensim,143.51451558183493,1,first_quarter
to keep,113,Gensim,11.096336240008696,2,
u.s. dollar,113,Gensim,10.833516515847244,1,us_dollar
year earlier,111,Gensim,58.65446001809639,2,
should be,110,Gensim,26.43752511048614,2,
lot of,108,Gensim,11.447718938157369,2,
we 're,107,Gensim,108.97012696041824,2,
last month,107,Gensim,56.78191277864726,2,
may have,106,Gensim,13.075384740085996,2,
rather than,104,Gensim,147.41349112961623,2,
much as,104,Gensim,13.929211051859582,2,
spokesman said,104,Gensim,35.06214255651011,2,
so far,103,Gensim,124.52918435210468,2,
hong kong's,102,NER,,1,hong_kong
prime minister,101,Gensim,799.0649666059503,1,prime_minister
a result,101,Gensim,10.972142228385511,2,
in addition,101,Gensim,20.67939559522243,2,
i 'm,100,Gensim,287.2833180147059,2,
compared with,100,Gensim,75.84467534232282,2,
if you,99,Gensim,39.64767914098475,2,
well as,99,Gensim,19.951751811161788,2,
he added,95,Gensim,36.07910723815511,2,
south korea,94,NER,,1,south_korea
officials said,93,Gensim,10.90594055117087,3,
foreign currencies,93,Gensim,182.3061762909512,1,foreign_currency
was quoted,93,Gensim,69.79394465336033,2,
london based,92,Gensim,160.12701387334974,3,
i do,91,Gensim,29.96163636825698,2,
analysts said,90,Gensim,25.97408839424946,2,
might be,90,Gensim,23.331477078379844,2,
they do,90,Gensim,14.638441994317622,2,
nation 's,88,Gensim,20.2175469379294,3,
quoted at,88,Gensim,75.52894402035624,2,
its own,87,Gensim,32.25355749677515,2,
white house,87,NER,,1,white_house
they 're,86,Gensim,52.644479781917305,2,
